@relation BaseHistorica-weka.filters.unsupervised.attribute.Remove-R1

@attribute WMC numeric
@attribute LCOM numeric
@attribute NBD numeric
@attribute DIT numeric
@attribute NOC numeric
@attribute NORM numeric
@attribute SIX numeric
@attribute MLOC numeric
@attribute NAC numeric
@attribute NSF numeric
@attribute NSM numeric
@attribute PAR numeric
@attribute NOI numeric
@attribute NOP numeric
@attribute I numeric
@attribute A numeric
@attribute Dn numeric
@attribute debug numeric
@attribute breakpoint numeric
@attribute refactoring numeric
@attribute CodErro numeric
@attribute qtdeErros numeric
@attribute classe {basic,intermediate,proficient}

@data
0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,basic
17,0.883,1,1,0,0,0,1.353,8,0,0,0.882,0,1,1,0,0,0,0,0,0,0,basic
8.5,0.441,1,1,0,0,0,1.353,4,0,0,0.882,0,1,1,0,0,0,0,0,0,0,basic
8.5,0.441,1,1,0.5,0,0,1.353,4,0,0,0.882,0,1,1,0,0,0,0,1,1,1,basic
8.5,0.441,1,1,0.5,0,0,1.353,4,0,0,0.882,0,1,1,0,0,0,0,0,0,0,basic
6,0.294,1,1.333,0.333,0,0,1.333,2.667,0,0,1.222,0,1,1,0,0,0,0,0,0,0,basic
9,0.441,1,1.5,0.5,0,0,1.333,4,0,0,1.222,0,1,1,0,0,0,0,0,0,0,basic
9,0.438,1,1.5,0.5,0,0,1.556,5.5,0,0,1.444,0,1,1,0,0,0,0,1,0,0,basic
9,0.438,1,1.5,0.5,0,0,1.556,5.5,0,0,1.444,0,1,1,0,0,0,0,0,0,0,basic
6,0.292,1,1.333,0.333,0,0,1.556,3.667,0,0,1.444,0,1,1,0,0,0,0,0,0,0,basic
6.333,0.292,1,1.667,0.333,0,0,1.684,4.667,0,0,1.895,0,1,1,0,0,0,0,1,8,1,basic
6.333,0.292,1,1.667,0.333,0,0,1.684,4.667,0,0,1.895,0,1,1,0,0,0,0,0,8,1,basic
6.333,0.292,1,1.667,0.333,0,0,1.684,4.667,0,0,1.895,0,1,1,0,0,0,0,0,1,2,basic
12,0.771,1,1.5,0.5,0,0,1.417,5.5,0,0,1.208,0,1,1,0,0,0,0,0,0,0,basic
8,0.514,1,1.333,0.333,0,0,1.417,3.667,0,0,1.208,0,1,1,0,0,0,0,1,0,0,basic
8,0.514,1,1.333,0.333,0,0,1.417,3.667,0,0,1.208,0,1,1,0,0,0,0,0,0,0,basic
8,0.514,1,1.333,0.333,0,0,1.417,8.333,0,0,1.208,0,1,1,0,0,0,0,0,1,7,basic
6,0.385,1,1.25,0.25,0,0,1.417,6.25,0,0,1.208,0,1,1,0,0,0,0,0,0,0,basic
6,0.385,1,1.25,0.25,0,0,1.417,6.25,0,0,1.208,0,1,1,0,0,0,0,0,1,7,basic
1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,basic
0.5,0,1,1,0,0,0,0,0,0,0.5,1,0,1,1,0,0,0,0,0,0,0,basic
12,0.457,1,1,0,0,0,1.333,5.5,0,0.5,0.5,0,1,1,0,0,0,0,0,0,0,basic
8,0.304,1,1,0,0,0,1.333,3.667,0,0.333,0.5,0,1,1,0,0,0,0,0,0,0,basic
8.333,0.304,1,1.333,0,0,0,1.36,4.333,0,0.333,0.48,0,1,1,0,0,0,0,0,0,0,basic
9.667,0.471,1,1.333,0,0,0,1.31,4.333,0,0.333,0.483,0,1,1,0,0,0,0,0,0,0,basic
9,0.467,1,1.333,0.333,0,0,1.333,4,0,0.333,0.481,0,1,1,0,0,0,0,0,0,0,basic
6.75,0.35,1,1.25,0.25,0,0,1.333,3,0,0.25,0.481,0,1,1,0,0,0,0,0,0,0,basic
7.25,0.35,1.036,1.25,0.25,0,0,1.75,4.75,0,0.25,0.464,0,1,1,0,0,0,0,0,0,0,basic
8,0.35,1.071,1.25,0.25,0,0,2.357,4.75,0,0.25,0.464,0,1,1,0,0,0,0,0,0,0,basic
0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,basic
0.5,0,1,1,0,0,0,0,0,0,0.5,1,0,1,1,0,0,0,0,0,0,0,basic
0.5,0,1,1,0,0,0,3,0,0,0.5,1,0,1,1,0,0,0,0,1,0,0,basic
0.5,0,1,1,0,0,0,3,0,0,0.5,1,0,1,1,0,0,0,0,0,0,0,basic
6,0.438,1,1,0,0,0,1.75,4,0,0.5,1,0,1,1,0,0,0,0,0,0,0,basic
4,0.292,1,1,0,0,0,1.75,2.667,0,0.333,1,0,1,1,0,0,0,0,0,0,0,basic
4.333,0.265,1,1,0,0,0,3.154,2.667,0,0.333,0.923,0,1,1,0,0,0,0,0,0,0,basic
6.5,0.398,1,1,0,0,0,4.462,4,0,0.5,0.923,0,1,1,0,0,0,0,0,10,1,basic
6.5,0.398,1,1,0,0,0,4.462,4,0,0.5,0.923,0,1,1,0,0,0,0,0,0,0,basic
6.5,0.398,1,1,0,0,0,4.462,4,0,0.5,0.923,0,1,1,0,0,0,0,0,2,1,basic
6.5,0.398,1,1,0,0,0,7.231,4,0,0.5,0.923,0,1,1,0,0,0,0,0,2,3,basic
6.5,0.398,1,1,0,0,0,7.308,4,0,0.5,0.923,0,1,1,0,0,0,0,0,7,1,basic
6.5,0.398,1,1,0,0,0,7.308,4,0,0.5,0.923,0,1,1,0,0,0,0,0,1,2,basic
4.333,0.265,1,1,0,0,0,7.308,2.667,0,0.333,0.923,0,1,1,0,0,0,0,1,0,0,basic
4.333,0.265,1,1,0,0,0,7.308,2.667,0,0.333,0.923,0,1,1,0,0,0,0,0,0,0,basic
4.333,0.292,1,1,0,0,0,4.769,2.667,0,0.333,0.923,0,1,1,0,0,0,0,0,0,0,basic
4.333,0.292,1,1,0,0,0,4.769,2.667,0,0.333,0.923,0,1,1,0,0,0,0,0,1,1,basic
4.333,0.292,1,1,0,0,0,4.846,2.667,0,0.333,0.923,0,1,1,0,0,0,0,0,1,1,basic
4.333,0.292,1,1,0,0,0,4.846,2.667,0,0.333,0.923,0,1,1,0,0,0,0,0,10,1,basic
4.333,0.292,1,1,0,0,0,5,2.667,0,0.333,0.923,0,1,1,0,0,0,0,0,10,1,basic
4.333,0.292,1,1,0,0,0,5,2.667,0,0.333,0.923,0,1,1,0,0,0,0,0,0,0,basic
4.667,0.292,1.077,1,0,0,0,5.231,2.667,0,0.333,0.923,0,1,1,0,0,0,0,0,0,0,basic
